dijo	said
frases	phrases
trasladados	transferred
otro	other
le	him
comunidad	community
tu	you
buscar	search
creo	think
llevaron	carried
porqué	why
porque	because
nada	nothing
viven	live
sol	sun
mucho	much
propósito	purpose
previo	previous
qué	what
examen	examination
recuerda	recalls
mañana	tomorrow
una	a
nunca	never
mundial	world
el	the
en	in
suspendido	suspended
moverte	move
maletas	baggage
todo	all
leal	loyal
algunas	some
bien	well
aviso	notice
carta	letter
pública	public
alrededores	surroundings
departamento	department
muchachas	girls
que	that
muchachos	boys
alto	high
estadounidenses	American
o	or
esas	those
universidad	university
después	after
con	with
escribieron	wrote
por	by
vio	saw
donde	where
instrumento	instrument
esta	this
amigo	friend
llegó	came
misioneros	missionaries
pero	but
cuarto	room
los	the
vas	go
a	to
más	more
desventura	misfortune
cinco	five
puedes	can
bajo	below
ha	has
cuanto	when
he	I
la	the
opinión	opinion
haya	have
del	of
logró	achieved
tres	three
unos	some
encuentran	found
al	to the
mundo	world
primeros	first
cafetería	cafeteria
estudiado	studied
no	no
viejas	old
últimos	last
fueron	were
basta	enough
sin	without
de	of
noche	night
llamar	call
convencidos	convinced
mal	bad
las	the
remota	remote
días	days
deshonra	dishonor
dicho	saying
colocarse	be placed
si	if
cubrió	covered
bofetón	slap
y	and
dos	two
reflectores	reflectors
se	oneself
popular	popular
pero	but
saben	know
ellas	they
escribir	write
como	how
hace	ago
calor	heat
tengo	have
hambre	hunger
yo	I
ella	she
es	is
verde	green
